step,train_loss
0,0.2952238619327545
100,0.04150741919875145
200,0.04473727196455002
300,0.05407162755727768
400,0.045193128287792206
500,0.0435628667473793
600,0.06869611889123917
700,0.04025067761540413
800,0.04479555785655975
900,0.03985466808080673
1000,0.03513272479176521
1100,0.0380278155207634
1200,0.057641927152872086
1300,0.055746689438819885
1400,0.04175896942615509
1500,0.05524764209985733
1600,0.04143280163407326
1700,0.057176824659109116
1800,0.03570331260561943
1900,0.057655178010463715
